"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","superphylum","phylum","subphylum","class","order","below_order","below_below_order","family","below_family","genus","below_genus","species_group","species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies"
"33034","165779","species","Anaerococcus prevotii","1","131567","2","","","1239","","186801","186802","","","1570339","","165779","","","","33034","","","",""
"1288120","165779","species","Anaerococcus senegalensis","1","131567","2","","","1239","","186801","186802","","","1570339","","165779","","","","1288120","","","",""
"33036","165779","species","Anaerococcus tetradius","1","131567","2","","","1239","","186801","186802","","","1570339","","165779","","","","33036","","","",""
"33037","165779","species","Anaerococcus vaginalis","1","131567","2","","","1239","","186801","186802","","","1570339","","165779","","","","33037","","","",""
"98671","1663","species","Arthrobacter albus","1","131567","2","","","201174","","1760","85006","","","1268","","1663","","","","98671","","","",""
"156979","1663","species","Arthrobacter cumminsii","1","131567","2","","","201174","","1760","85006","","","1268","","1663","","","","156979","","","",""
"1393034","1380","species","Atopobium deltae","1","131567","2","","","201174","","84998","84999","","","1643824","","1380","","","","1393034","","","",""
"39487","1380","species","Atopobium fossor","1","131567","2","","","201174","","84998","84999","","","1643824","","1380","","","","39487","","","",""
"1381","1380","species","Atopobium minutum","1","131567","2","","","201174","","84998","84999","","","1643824","","1380","","","","1381","","","",""
"1382","1380","species","Atopobium parvulum","1","131567","2","","","201174","","84998","84999","","","1643824","","1380","","","","1382","","","",""
"1383","1380","species","Atopobium rimae","1","131567","2","","","201174","","84998","84999","","","1643824","","1380","","","","1383","","","",""
"82135","1380","species","Atopobium vaginae","1","131567","2","","","201174","","84998","84999","","","1643824","","1380","","","","82135","","","",""
"186802_1","186802","species","BVAB1","1","131567","2","","","1239","","186801","186802","","","","","","","","","186802_1","","","",""
"186802_2","186802","species","BVAB2","1","131567","2","","","1239","","186801","186802","","","","","","","","","186802_2","","","",""
"1396","86661","species","Bacillus cereus","1","131567","2","","","1239","","91061","1385","","","186817","","1386","","86661","","1396","","","",""
"1402","653685","species","Bacillus licheniformis","1","131567","2","","","1239","","91061","1385","","","186817","","1386","","653685","","1402","","","",""
"1404","1386","species","Bacillus megaterium","1","131567","2","","","1239","","91061","1385","","","186817","","1386","","","","1404","","","",""
"1471","1386","species","Bacillus methanolicus","1","131567","2","","","1239","","91061","1385","","","186817","","1386","","","","1471","","","",""
"1408","1386","species","Bacillus pumilus","1","131567","2","","","1239","","91061","1385","","","186817","","1386","","","","1408","","","",""
"1423","653685","species","Bacillus subtilis","1","131567","2","","","1239","","91061","1385","","","186817","","1386","","653685","","1423","","","",""
"357276","816","species","Bacteroides dorei","1","131567","2","","68336","976","","200643","171549","","","815","","816","","","","357276","","","",""
"817","816","species","Bacteroides fragilis","1","131567","2","","68336","976","","200643","171549","","","815","","816","","","","817","","","",""
"310300","816","species","Bacteroides pyogenes","1","131567","2","","68336","976","","200643","171549","","","815","","816","","","","310300","","","",""
"691816","816","species","Bacteroides rodentium","1","131567","2","","68336","976","","200643","171549","","","815","","816","","","","691816","","","",""
"376805","816","species","Bacteroides salanitronis","1","131567","2","","68336","976","","200643","171549","","","815","","816","","","","376805","","","",""
"818","816","species","Bacteroides thetaiotaomicron","1","131567","2","","68336","976","","200643","171549","","","815","","816","","","","818","","","",""
"487174","397864","species","Barnesiella intestinihominis","1","131567","2","","68336","976","","200643","171549","","","171551","","397864","","","","487174","","","",""
"397865","397864","species","Barnesiella viscericola","1","131567","2","","68336","976","","200643","171549","","","171551","","397864","","","","397865","","","",""
